"# setID","BGC_PaThWs","BGC_PaDesConst","BGC_ThDesConst","BGC_sigmaPaPOC","BGC_sigmaPaCa","BGC_sigmaPaOp","BGC_sigmaPaDu","BGC_sigmaPaNeph","BGC_sigmaThPOC","BGC_sigmaThCa","BGC_sigmaThOp","BGC_sigmaThDu","BGC_sigmaThNeph"
1000,1400,1,1,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1001,1400,1.5,1.5,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1002,1400,2,2,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1003,1400,2.2,2.2,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1004,1400,2.4,2.4,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1005,1400,2.6,2.6,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1006,1400,2.8,2.8,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1007,1400,3,3,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1008,1400,3.2,3.2,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1009,1400,3.4,3.4,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1010,1400,3.6,3.6,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1011,1400,3.8,3.8,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1012,1400,4,4,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1013,1400,4.5,4.5,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1014,1400,5,5,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1015,1400,3.1,3.1,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1016,1400,3.3,3.3,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1017,1400,3.5,3.5,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1018,1400,3.7,3.7,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
