run_ID,runname,MRT_Pa,MRT_Th,median_Pad,median_Thd,median_Pap,median_Thp,MAE_unc_weights_Pad,MAE_unc_weights_Thd,MAE_unc_weights_Pap,MAE_unc_weights_Thp,MAE_no_weights_Pad,MAE_no_weights_Thd,MAE_no_weights_Pap,MAE_no_weights_Thp,PaThWs,PaDesConst,ThDesConst,sigmaPaPOC,sigmaPaCa,sigmaPaOp,sigmaPaDu,sigmaPaNeph,sigmaThPOC,sigmaThCa,sigmaThOp,sigmaThDu,sigmaThNeph
1000,KDE1000_PI,45.73290876661141,12.301665542636004,0.9016133192340409,2.193772635325774,0.021970147431029888,0.24239799471708906,1.4370477996732853,2.8967658248224386,0.021197020958297917,0.356200211,2.212906427222189,4.770472600206795,0.033912121,0.60091937,1400,1,1,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1001,KDE1001_PI,56.903301589269894,15.311555198147062,1.0822590276467803,2.6478434497407974,0.022047575,0.24242224551837815,1.282053462219222,2.5372616672218236,0.020991928,0.3556486857796375,1.981895480743028,4.195562022323693,0.03439504,0.6004815059817113,1400,1.5,1.5,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1002,KDE1002_PI,67.66483160229151,18.264176400703217,1.2635381217617834,3.091223895464062,0.022143823291534054,0.24212465221697893,1.1807538773194903,2.259045083897394,0.020841986622322266,0.3550263402846576,1.8041450330749593,3.7223266603606273,0.034777678,0.6001926993991732,1400,2,2,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1003,KDE1003_PI,71.87332854557911,19.431660688154867,1.337873190287749,3.268888799493076,0.022254612,0.24230064344624863,1.148944289759795,2.1671725141070666,0.020795806867132477,0.3547513422570328,1.7460986579445972,3.559745063818144,0.034907923,0.6000886254537959,1400,2.2,2.2,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1004,KDE1004_PI,76.03290383083805,20.592217855097797,1.4121801052255496,3.4499350487371445,0.022314095,0.24191469515304842,1.1231285894419973,2.094465849609552,0.020751813,0.3544735364114393,1.6952244124256481,3.420274819488502,0.035026041509345025,0.6000217187877028,1400,2.4,2.4,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1005,KDE1005_PI,80.14688047,21.74630683337221,1.485909212520684,3.626577379090921,0.022380586,0.24155656188758778,1.1028544955363517,2.036064662,0.020702918,0.35420390977092925,1.652451449393318,3.302156173,0.035125275,0.600060933,1400,2.6,2.6,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1006,KDE1006_PI,84.21819833179401,22.89433394847658,1.5560545812214888,3.8029241775098486,0.022468474606949573,0.2417674532340881,1.0850437130644621,1.9913023836566475,0.020654646,0.3539280823645972,1.6128209977695602,3.2005391880104863,0.035212485967359486,0.6001214583265653,1400,2.8,2.8,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1007,KDE1007_PI,88.24947282729418,24.036660679430792,1.628125293162625,3.9790285626112354,0.022551892,0.24180146087983145,1.0693567591707396,1.9581618791697089,0.020605455506196926,0.3536727328126882,1.5757890919861348,3.1132539545566553,0.035290165,0.6002274210756489,1400,3,3,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1008,KDE1008_PI,92.24304135057115,25.17361019919016,1.700138138842934,4.160074171840275,0.022562299,0.2415894536402068,1.0575773092441418,1.9327647508206491,0.020555956,0.3534187778298148,1.5436442033160598,3.0380519426916237,0.035361976,0.6003476669863927,1400,3.2,3.2,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1009,KDE1009_PI,96.20100066945248,26.30547290800403,1.7714194684730131,4.336912466773221,0.022600311163209475,0.24163574232621507,1.0485549433974868,1.9185381561153472,0.020510475,0.353157708,1.5154779822642788,2.984240802329318,0.035436362483916954,0.6004672893890883,1400,3.4,3.4,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
