"lon","lat","z","cruise","station","Pad","Pad_err","Thd","Thd_err"
-10.04,40.33,3445.3,"deng",1,3.96,0.17
-10.04,40.33,2955.3,"deng",1,4.3,0.22
-10.04,40.33,2465.8,"deng",1,3.46,0.22,6.72,0.2
-10.04,40.33,1974.9,"deng",1,2.77,0.19,4.18,0.17
-10.04,40.33,1385.3,"deng",1,2.65,0.23,2.5,0.14
-10.04,40.33,1039.6,"deng",1,2.04,0.2,2.5,0.2
-10.04,40.33,495.6,"deng",1,1.49,0.22,2.61,0.16
-10.04,40.33,246.9,"deng",1,1.09,0.18,1.88,0.14
-10.04,40.33,49.6,"deng",1,1.09,0.2,1.74,0.18
-10.04,40.33,4.7,"deng",1,0.37,0.08,2.36,0.09
-13.89,41.38,5330.4,"deng",13,3.28,0.24,6.56,0.328
-13.89,41.38,5263.1,"deng",13,3.8,0.26,9.55,0.4775
-13.89,41.38,5194.3,"deng",13,4.8,0.24,11.92,0.596
-13.89,41.38,4903.9,"deng",13,3.51,0.15,11.17,0.5585
-13.89,41.38,4417.8,"deng",13,4.58,0.24,8.42,0.421
-13.89,41.38,3444,"deng",13,4.19,0.14,6.14,0.307
-13.89,41.38,2464.7,"deng",13,2.73,0.26,4.31,0.2155
-13.89,41.38,1187.3,"deng",13,1.51,0.12,2.38,0.119
-13.89,41.38,989.1,"deng",13,2.16,0.15,3.06,0.153
-13.89,41.38,248.4,"deng",13,1.05,0.11,,
-13.89,41.38,148.5,"deng",13,0.92,0.13,,
-13.89,41.38,29.7,"deng",13,0.89,0.11,0.32,0.15
-13.89,41.38,4.3,"deng",13,0.58,0.08,0.19,0.14
-19.67,46.54,4514.9,"deng",21,4.55,0.15,4.58,0.19
-19.67,46.54,4475,"deng",21,4.2,0.18,4.66,0.28
-19.67,46.54,4426.3,"deng",21,4.21,0.17,4.33,0.14
-19.67,46.54,4279.6,"deng",21,4.36,0.18,4.45,0.19
-19.67,46.54,3929.3,"deng",21,3.63,0.17,4.11,0.16
-19.67,46.54,3443.3,"deng",21,3.37,0.2,3.47,0.14
