lon,lat,z,cruise,station,Pad,Pad_err,Thd,Thd_err
-21.6326,9.2844,705,ng,Carter,0.175,0.011,0.170,0.010
-21.6326,9.2844,1503,ng,Carter,0.336,0.016,0.335,0.012
-21.6326,9.2844,2002,ng,Carter,0.362,0.016,0.476,0.020
-21.6326,9.2844,2800,ng,Carter,0.369,0.016,0.562,0.017
-21.7963,7.4349,3419,ng,Carter,0.312,0.016,0.682,0.020
-21.6326,9.2844,4512,ng,Carter,0.266,0.012,0.673,0.022
-26.6833,5.7917,1002,ng,Knipovich,0.270,0.012,0.265,0.005
-26.6833,5.7917,2000,ng,Knipovich,0.339,0.015,0.542,0.013
-26.6833,5.7917,2799,ng,Knipovich,0.326,0.014,0.582,0.023
-27.2738,5.7057,4405,ng,Knipovich,0.240,0.015,0.592,0.014
-44.4915,10.9630,605,ng,Vema,0.143,0.010,0.162,0.007
-44.5148,10.5548,1009,ng,Vema,0.235,0.015,0.244,0.007
-44.4915,10.9630,2801,ng,Vema,0.277,0.014,0.496,0.024
-48.2597,15.2708,1004,ng,Vayda,0.228,0.016,0.139,0.007
-48.2597,15.2708,1503,ng,Vayda,0.292,0.013,0.456,0.010
-48.2597,15.2708,2001,ng,Vayda,0.122,0.011,0.177,0.009
-48.2597,15.2708,2800,ng,Vayda,0.188,0.011,0.153,0.006
-48.2597,15.2708,3798,ng,Vayda,0.141,0.010,0.161,0.007
-48.2597,15.2708,4168,ng,Vayda,0.174,0.010,0.303,0.013
-50.9914,15.4643,2714,ng,Gramberg,0.151,0.011,0.186,0.011
