lon,lat,z,cruise,station,Pad,Pad_err,Thd,Thd_err
-170.161,-66.975,4.513,pavia,1,1.15,0.06,1.89,0.06
-170.161,-66.975,24.131,pavia,1,1.16,0.05,1.74,0.06
-170.161,-66.975,70.365,pavia,1,1.4,0.05,3.31,0.1
-170.161,-66.975,150.023,pavia,1,2.38,0.07,7.49,0.09
-170.161,-66.975,250.274,pavia,1,3.7,0.09,11.79,0.16
-170.161,-66.975,399.176,pavia,1,4.29,0.11,13.93,0.19
-170.161,-66.975,600.154,pavia,1,4.76,0.13,14.95,0.14
-170.161,-66.975,998.935,pavia,1,5.46,0.14,16.96,0.22
-170.161,-66.975,1501.251,pavia,1,5.91,0.16,16.96,0.16
-169.6,-65.159,5.536,pavia,3,0.83,0.06,1.14,0.05
-169.6,-65.159,25.4,pavia,3,0.81,0.05,1.19,0.04
-169.6,-65.159,70.103,pavia,3,0.97,0.05,1.64,0.08
-169.6,-65.159,148.959,pavia,3,2.27,0.1,6.4,0.15
-169.6,-65.159,250.357,pavia,3,3.44,0.15,10.27,0.12
-169.6,-65.159,400.883,pavia,3,4.23,0.13,12.49,0.2
-169.6,-65.159,599.39,pavia,3,4.58,0.14,13.96,0.2
-169.6,-65.159,800.898,pavia,3,5.16,0.16,15.07,0.21
-169.6,-65.159,999.497,pavia,3,5.28,0.17,15.43,0.16
-169.6,-65.159,1500.573,pavia,3,5.75,0.16,15.81,0.19
-170.078,-64.197,25.244,pavia,4,0.81,0.05,1.06,0.04
-170.078,-64.197,50.625,pavia,4,1.01,0.07,1.01,0.04
-170.078,-64.197,65.294,pavia,4,1.08,0.05,1.26,0.05
-170.078,-64.197,99.262,pavia,4,1.53,0.07,3.51,0.07
-170.078,-64.197,150.788,pavia,4,2.13,0.08,5.05,0.08
-170.078,-64.197,251.844,pavia,4,3.07,0.11,7.76,0.15
-170.078,-64.197,400.667,pavia,4,3.76,0.11,9.8,0.1
-170.078,-64.197,600.087,pavia,4,4.61,0.15,11.12,0.22
-170.078,-64.197,801.084,pavia,4,4.8,0.11,12.1,0.12
-170.078,-64.197,1001.141,pavia,4,5.22,0.13,13.38,0.26
-170.078,-64.197,1499.537,pavia,4,5.67,0.19,14.54,0.27
-169.85,-63.167,25.26,pavia,5,0.54,0.04,0.81,0.04
-169.85,-63.167,50.489,pavia,5,0.71,0.04,0.84,0.03
-169.85,-63.167,75.605,pavia,5,1.04,0.05,1.61,0.04
-169.85,-63.167,99.902,pavia,5,1.35,0.06,2.45,0.05
-169.85,-63.167,149.986,pavia,5,1.75,0.07,3.63,0.06
-169.85,-63.167,248.814,pavia,5,2.42,0.08,5.05,0.08
-169.85,-63.167,401.064,pavia,5,3.11,0.09,6.37,0.08
-169.85,-63.167,600.017,pavia,5,3.58,0.11,7.82,0.1
-169.85,-63.167,798.607,pavia,5,3.76,0.12,9.29,0.1
-169.85,-63.167,1001.157,pavia,5,4.78,0.13,10.52,0.09
-169.85,-63.167,1500.813,pavia,5,5.09,0.1,13.06,0.1
-169.982,-61.88,25.524,pavia,7,0.52,0.04,0.84,0.03
-169.982,-61.88,51.978,pavia,7,0.68,0.04,0.8,0.03
-169.982,-61.88,74.912,pavia,7,0.95,0.04,1.54,0.04
