# setID,﻿BGC_PaThWs,BGC_PaDesConst,BGC_ThDesConst,BGC_sigmaPaPOC,BGC_sigmaPaCa,BGC_sigmaPaOp,BGC_sigmaPaDu,BGC_sigmaPaNeph,BGC_sigmaThPOC,BGC_sigmaThCa,BGC_sigmaThOp,BGC_sigmaThDu,BGC_sigmaThNeph
1000,1000,2.4,2.4,0.043050425,0.338507328,0.321403385,0.050667807,0.033981214,0.189831785,14.65668349,0.255214722,0.077064698,0.082347566
1001,1000,2.4,2.4,0.013137335,0.357391971,0.206915963,0.035560994,0.034479326,0.125051671,15.27279146,0.180842428,0.035540895,0.056947796
1002,1000,2.4,2.4,0.004035329,0.375470232,0.27099453,0.018043684,0.010010339,0.009238024,3.026509058,0.312734145,0.003898324,0.06124967
1003,1000,2.4,2.4,0.030525568,0.12282549,0.083381035,0.026431933,0.035812609,0.018752326,7.860275091,0.058859798,0.085513769,0.109599904
1004,1000,2.4,2.4,0.018468401,0.07206268,0.308239209,0.010357572,0.049170543,0.058664272,8.844610871,0.385223405,0.034366845,0.06393983
1005,1000,2.4,2.4,0.001595162,0.10212725,0.22951188,0.039845711,0.023821182,0.236747711,8.176326442,0.128237495,0.10868438,0.087604525
1006,1000,2.4,2.4,0.031708746,0.022781431,0.003627118,0.053122156,0.042335921,0.210622399,12.84688599,0.155765934,0.08477626,0.106699519
1007,1000,2.4,2.4,0.017277725,0.038349453,0.425860155,0.038082495,0.039902362,0.171422154,1.854985627,0.378085666,0.095408146,0.029139986
1008,1000,2.4,2.4,0.02237786,0.041452614,0.088795838,0.043690847,0.041545785,0.179701946,15.33053006,0.292017485,0.006283318,0.007581825
1009,1000,2.4,2.4,0.01060724,0.4554478,0.290769552,0.050425775,0.05419123,0.205118881,1.501193829,0.027008877,0.097799904,0.080385113
1010,1000,2.4,2.4,0.014504529,0.343233583,0.281920351,0.024884731,0.047993706,0.120641169,3.729361477,0.273278221,0.006662451,0.008798636
1011,1000,2.4,2.4,0.040766657,0.4223288,0.179609202,0.006078722,0.030744286,0.257238483,8.616987939,0.202347876,0.092429339,0.059419709
1012,1000,2.4,2.4,0.00513804,0.260291412,0.276543555,0.031228129,0.03032087,0.185221148,10.64736693,0.118207525,0.067420941,0.053973921
1013,1000,2.4,2.4,0.043457729,0.341216726,0.329874308,0.030773363,0.008164005,0.101314546,8.627523279,0.17193944,0.109890338,0.105548734
1014,1000,2.4,2.4,0.004888817,0.013174284,0.283304588,0.019712441,0.055996753,0.024000029,4.578943982,0.211680421,0.068698918,0.022380333
1015,1000,2.4,2.4,0.016508897,0.158393674,0.403896202,0.022689103,0.048373403,0.081624691,15.3543022,0.274099494,0.104976907,0.099976148
1016,1000,2.4,2.4,0.035623609,0.181516239,0.290654843,0.03574021,0.05452514,0.008426653,6.739274928,0.031792863,0.092474724,0.050014456
1017,1000,2.4,2.4,0.037282765,0.03239969,0.16298237,0.032321053,0.015101117,0.056522699,10.84514896,0.246212234,0.060342987,0.087347608
1018,1000,2.4,2.4,0.031982668,0.454396721,0.405875573,0.041450624,0.043733735,0.079843879,15.68064931,0.403246035,0.00511099,0.09361705
1019,1000,2.4,2.4,0.014028148,0.171920262,0.396418746,0.051022615,0.02405701,0.174771147,4.509251521,0.243582484,0.106728855,0.042613963
1020,1000,2.4,2.4,0.034344097,0.294423605,0.051514475,0.034509726,0.041317781,0.063361652,10.04690456,0.238488466,0.069831466,0.02337304
1021,1000,2.4,2.4,0.005790381,0.206175185,0.041650464,0.006908389,0.001699187,0.136027876,6.809661737,0.173472721,0.098294922,0.079203971
1022,1000,2.4,2.4,0.02367863,0.073140787,0.363810167,0.043004659,0.013550356,0.049028145,14.56740338,0.152973479,0.001287956,0.0872112
1023,1000,2.4,2.4,0.001756073,0.267271615,0.244051072,0.019496379,0.015693997,0.051407299,15.53968484,0.009029318,0.014705493,0.020522808
1024,1000,2.4,2.4,0.019753723,0.19854878,0.038022703,0.048843712,0.009329295,0.043428435,0.807131144,0.352827357,0.016790215,0.098585656
1025,1000,2.4,2.4,0.022291571,0.196107894,0.432374071,0.028961935,0.009102079,0.244763141,12.95280693,0.018297371,0.015832889,0.092015094
1026,1000,2.4,2.4,0.023784918,0.151900581,0.289766646,0.029833156,0.005116661,0.115849587,4.732577396,0.142673974,0.059871389,0.020828907
1027,1000,2.4,2.4,0.034716959,0.46284177,0.152578212,0.000365159,0.055339454,0.060299133,7.359747585,0.083156141,0.104889739,0.069137113
1028,1000,2.4,2.4,0.008340704,0.084723215,0.091454595,0.053096392,0.044941664,0.170594933,0.048683791,0.219420148,0.044643924,0.102231752
1029,1000,2.4,2.4,0.020537274,0.418260953,0.170519379,0.025348497,0.048011446,0.075197246,3.873522141,0.386743757,0.001987355,0.045565614
1030,1000,2.4,2.4,0.043894999,0.113017077,0.358623889,0.022899017,0.023115531,0.174903413,6.682679517,0.028872084,0.086059911,0.076677542
1031,1000,2.4,2.4,0.003055502,0.35814981,0.057751513,0.039369259,0.01346031,0.23693512,10.09429938,0.019999334,0.002140916,0.035252343
1032,1000,2.4,2.4,0.00225256,0.207401298,0.004998073,0.050484584,0.036988963,0.205587101,6.388077562,0.213106262,0.013052582,0.025984537
1033,1000,2.4,2.4,0.026284663,0.13142016,0.210290641,0.041526114,0.034553325,0.275087058,2.775383502,0.326688808,0.07674609,0.063326951
1034,1000,2.4,2.4,0.028615976,0.399092797,0.113570681,0.039396816,0.040676324,0.146606945,5.673636178,0.156030792,0.091457186,0.025740089
1035,1000,2.4,2.4,0.01186619,0.008288586,0.412344639,0.007605122,0.055306828,0.18695704,1.007787038,0.308370791,0.107662022,0.011299844
