# setID,﻿BGC_PaThWs,BGC_PaDesConst,BGC_ThDesConst,BGC_sigmaPaPOC,BGC_sigmaPaCa,BGC_sigmaPaOp,BGC_sigmaPaDu,BGC_sigmaPaNeph,BGC_sigmaThPOC,BGC_sigmaThCa,BGC_sigmaThOp,BGC_sigmaThDu,BGC_sigmaThNeph
1000,100,2.4,2.4,0.02,0.23,0.22,0.0044,0.028,0.084,3.97,0.11,0.00226,0.0282
1001,500,2.4,2.4,0.02,0.23,0.22,0.0044,0.028,0.084,3.97,0.11,0.00226,0.0282
1002,1000,2.4,2.4,0.02,0.23,0.22,0.0044,0.028,0.084,3.97,0.11,0.00226,0.0282
1003,1500,2.4,2.4,0.02,0.23,0.22,0.0044,0.028,0.084,3.97,0.11,0.00226,0.0282
1004,2000,2.4,2.4,0.02,0.23,0.22,0.0044,0.028,0.084,3.97,0.11,0.00226,0.0282
1005,3000,2.4,2.4,0.02,0.23,0.22,0.0044,0.028,0.084,3.97,0.11,0.00226,0.0282
1006,4000,2.4,2.4,0.02,0.23,0.22,0.0044,0.028,0.084,3.97,0.11,0.00226,0.0282
1007,5000,2.4,2.4,0.02,0.23,0.22,0.0044,0.028,0.084,3.97,0.11,0.00226,0.0282
1008,250,2.4,2.4,0.02,0.23,0.22,0.0044,0.028,0.084,3.97,0.11,0.00226,0.0282
1009,750,2.4,2.4,0.02,0.23,0.22,0.0044,0.028,0.084,3.97,0.11,0.00226,0.0282
1010,900,2.4,2.4,0.02,0.23,0.22,0.0044,0.028,0.084,3.97,0.11,0.00226,0.0282
1011,1100,2.4,2.4,0.02,0.23,0.22,0.0044,0.028,0.084,3.97,0.11,0.00226,0.0282
1012,1250,2.4,2.4,0.02,0.23,0.22,0.0044,0.028,0.084,3.97,0.11,0.00226,0.0282
1013,1750,2.4,2.4,0.02,0.23,0.22,0.0044,0.028,0.084,3.97,0.11,0.00226,0.0282
1100,1000,0,0,0.02,0.23,0.22,0.0044,0.028,0.084,3.97,0.11,0.00226,0.0282
1101,1000,0.5,0.5,0.02,0.23,0.22,0.0044,0.028,0.084,3.97,0.11,0.00226,0.0282
1102,1000,1,1,0.02,0.23,0.22,0.0044,0.028,0.084,3.97,0.11,0.00226,0.0282
1103,1000,1.5,1.5,0.02,0.23,0.22,0.0044,0.028,0.084,3.97,0.11,0.00226,0.0282
1104,1000,2,2,0.02,0.23,0.22,0.0044,0.028,0.084,3.97,0.11,0.00226,0.0282
1105,1000,2.5,2.5,0.02,0.23,0.22,0.0044,0.028,0.084,3.97,0.11,0.00226,0.0282
1106,1000,3,3,0.02,0.23,0.22,0.0044,0.028,0.084,3.97,0.11,0.00226,0.0282
1107,1000,3.5,3.5,0.02,0.23,0.22,0.0044,0.028,0.084,3.97,0.11,0.00226,0.0282
1108,1000,4,4,0.02,0.23,0.22,0.0044,0.028,0.084,3.97,0.11,0.00226,0.0282
1109,1000,4.5,4.5,0.02,0.23,0.22,0.0044,0.028,0.084,3.97,0.11,0.00226,0.0282
1110,1000,5,5,0.02,0.23,0.22,0.0044,0.028,0.084,3.97,0.11,0.00226,0.0282
1111,1000,2.75,2.75,0.02,0.23,0.22,0.0044,0.028,0.084,3.97,0.11,0.00226,0.0282
